title_id,title_en,abstract_id,abstract_en,link
Perbandingan Metode Peramalan Double Exponential Smoothing dan Triple Exponential Smoothing with Damped Parameter terhadap Kunjungan Wisatawan Mancanegara di Provinsi Jawa Barat,Comparison of Double Exponential Smoothing and Triple Exponential Smoothing with Damped Parameter Forecasting Methods for Foreign Tourist Visits in West Java Province: Comparison of Double Exponential Forecasting Methods,"Berdasarkan data yang dirilis Dinas Pariwisata dan Kebudayaan Jawa Barat bahwa sektor pariwisata menyumbang pendapatan asli daerah mencapai 577 miliar rupiah. Salah satu indikator yang membuat sektor pariwisata berkembang ialah pertumbuhan kunjungan wisatawan mancanegara. Penelitian ini bertujuan untuk memberikan gambaran ke depan bagi pemerintah dalam perancangan berbagai aspek penunjang sektor pariwisata dengan banyaknya wisatawan mancanegara yang datang seperti pada pembangunan infrastruktur, bandara internasional, fasilitas umum, transportasi, setra fasilitas rekreasi di berbagai objek wisata. Data yang digunakan dalam penelitian ialah jumlah kunjungan wisatawan mancanegara yang berkunjung ke Provinsi Jawa Barat pada bulan Januari 2010 sampai dengan Februari 2022. Data tersebut dilakukan transformasi Box-Cox terlebih dahulu agar data yang digunakan memiliki variansi yang kecil. Kemudian, dilakukan analisis peramalan dengan metode Double Exponential Smoothing with Damped Parameter dan Triple Exponential Smoothing Additive dan Multiplicative with Damped parameter. Dari ketika metode tersebut dicari nilai tingkat kesalahan atau error dengan perhitungan Mean Absolute Percentage Error (MAPE). Kemudian dibandingkan dari ketiga metode dan didapatkan model terbaik adalah Triple Exponential Smoothing Multiplicative with Damped parameter didapatkan nilai parameter optimum alpha sebesar 0.794, beta sebesar 0.00002, dan gamma sebesar 0.00001, dan phi sebesar 0.9655 dengan nilai peramalan pada bulan Maret 2022 sebesar 149 orang. Nilai MSE sebesar 7.576946, nilai MAPE sebesar 9.376225 atau 9.38%. Nilai MAPE < 10% yang artinya peramalan tersebut dapat dikatakan baik dan dapat digunakan.","Based on data released by Department of Tourism and Culture province West Java, the tourism sector contributes 577 billion rupiah to the region's original income. One indicator that makes the tourism sector develop is the growth in foreign tourist arrivals. This study aims to provide an overview for the government in designing various supporting aspects of the tourism sector with many foreign tourists coming, such as infrastructure development, international airports, public facilities, transportation, and recreational facilities in various tourist objects. The data used in this research is the number of foreign tourist visits to West Java Province from January 2010 to February 2022. The data is transformed by Box-Cox first so that the data used has a small variance. Then, forecasting analysis was carried out using the Double Exponential Smoothing with Damped Parameters method and the Triple Exponential Smoothing Additive and Multiplicative with Damped parameters method. From when the method is searched for the value of the error rate or error with the calculation of the Mean Absolute Percentage Error (MAPE). Then the three methods were compared and the best model was obtained, namely the Triple Exponential Smoothing Multiplicative with Damped parameter, whichobtained the optimum parameter value alpha of 0.794, beta of 0.00002, and gamma of 0.00001, and phi of 0.9655 with a forecasting value in March 2022 of 149 people. The MSE value is 7.576946, the MAPE value is 9.376225 or 9.38%. MAPE value <10%, which means that the forecast can be said to be good and can be used.",https://journal.uii.ac.id/esds/article/view/26977/14728
Perbandingan Metode Arima Dan Single Exponential Smoothing Dalam Peramalan Jumlah Peserta Keluarga Berencana Baru Di Kota Yogyakarta,Comparison of ARIMA and Single Exponential Smoothing Methods in Forecasting the Number of New Family Planning Participants in Yogyakarta City,"Menurut hasil proyeksi penduduk tahun 2010-2035 yang dilakukan oleh BPS menunjukan bahwa tahun 2000 hingga 2019, laju pertumbuhan penduduk di Kota Yogyakarta megalami kenaikan sebesar 1.39%. Kepadatan penduduk di Kota Yogyakarta pada tahun 2010 mencapai 11.985/km2. Selain itu, pada proyeksi BPS menunjukan kepadatan penduduk tahun 2019 mencapai 13.190,43/km2. Dengan kenaikan laju pertumbuhan penduduk yang sangat pesat serta kepadatan penduduk tersebut maka diperlukannya pencegahan serta persiapan alat kontrasepsi supaya menekan laju pertambahan penduduk di Kota Yogyakarta. Penelitian ini digunakan untuk mendapatkan metode peramalan yang tepat serta meramalkan jumlah peserta KB baru di Kota Yogyakarta pada 5 periode awal di tahun 2022. Perbandingan metode peramalan tersebut menggunakan metode single exponential smoothing danARIMA. Didapatkan metode terbaik adalah ARIMA(3,1,0) dengan nilai MAPE sebesar 16.24. Hasil peramalan menggunakan metode ARIMA(3,1,0) untuk bulan Januari 2022 hingga Mei 2022 secara berturut-turut adalah 389 jiwa, 353 jiwa, 338 jiwa, 346 jiwa dan 365 jiwa.","According to the results of the 2010-2035 population projection conducted by BPS, it shows that from 2000 to 2019, the population growth rate in Yogyakarta City has increased by 1.39. In addition, the population density in Yogyakarta City in 2010 reached 11985/km2. In addition, the BPS projection shows that the population density in 2019 reached 13190.43/km2. With the rapid increase in population growth rate and population density, it is necessary to prevent and prepare contraceptives in order to suppress the rate of population growth in the city of Yogyakarta. This study was used to obtain the right forecasting method and to predict the number of new family planning participants in the city of Yogyakarta in the first 5 periods in 2022. The comparison of the forecasting methods used the single exponential smoothing and ARIMA methods. The best method is ARIMA(3,1,0) with a MAPE value of 16.24. Forecasting results using the ARIMA (3,1,0) method for the months of January 2022 to May 2022 are 389 people, 353 people, 338 people, 346 people and 365 people, respectively.2",https://journal.uii.ac.id/esds/article/view/26980/14719
Penerapan Algoritma K-Means Clustering untuk Mengelompokkan Kecamatan di Kabupaten Grobogan Menurut Tingkat Kesejahteraan Keluarga Tahun 2020,Application of the K-Means Clustering Algorithm to Group Subdistricts in Grobogan Regency According to Family Welfare Levels in 2020,"Kesejahteraan keluarga adalah keadaan di mana kebutuhan dasar, sosial, dan perkembangan keluarga terpenuhi secara maksimal. Kabupaten Grobogan memiliki tingkat kesejahteraan keluarga yang berbeda-beda di setiap kecamatannya. Berbagai upaya dilakukan oleh pemerintah di Kabupaten Grobogan untuk mengatasi masalah-masalah yang berkaitan dengan kesejahteraan keluarga, mulai dari penyaluran bantuan dalam bentuk bantuan konsumtif hingga bantuan yang lebih produktif, namun seringkali terkendala masalah distribusi. Dengan menggunakan analisis k-means clustering, 19 kecamatan di Kabupaten Grobogan diklasifikasi dan ditentukan karakteristiknya guna membantu pemerintah dalam melaksanakan kebijakan yang berkaitan dengan masalah kesejahteraan keluarga di setiap kecamatan. Ada dua kelompok berbeda yang diidentifikasi dalam penelitian ini. Kecamatan pada kelompok 1 memiliki tingkat kesejahteraan keluarga yang tinggi untuk keluarga tahap I, II, III, dan III+. Sementara itu kelompok 2 memiliki tingkat kesejahteraan keluarga rendah untuk keluarga tahap I, II, III, dan III+.","Family welfare is a circumstance where in the own circle of relatives's basic, social, and developmental desiresare met to the fullest. Grobogan Regency has one of a kindstagesof own circle of relatives welfare in everysub-district. The authorities has made numerous efforts within side the Grobogan Regency to triumph overtroubles associated withown circle of relatives welfare, starting from the distribution of help within side the shape of consumptive help to extra efficien thelp, however distribution troubles are regularly hampered. Using k-manner clustering analysis, 19 sub-districts in Grobogan District had been categorized and their traits decided to help the authorities in enforcing rules associated with own circle of relatives welfare problems in everysub-district. There are wonderful companies recognized on this study. The sub-districts in institution 1 have a excessive degree of own circle of relatives welfare for degrees I, II, III, and III plus families. Meanwhile, institution 2 has a low degree of own circle of relatives welfare for level I, II, III, and III+ families.",https://journal.uii.ac.id/esds/article/view/26981/15997
Pengelompokan Kecamatan di Kabupaten Merangin Berdasarkan Produksi Tanaman Perkebunan Tahun 2021 Menggunakan Agglomerative Hierarchical Clustering: Pengelompokan Kecamatan di Kabupaten Merangin Berdasarkan Produksi Tanaman Perkebunan,Clustering of Subdistricts in Merangin Regency Based on Plantation Crop Production in 2021 Using Agglomerative Hierarchical Clustering: Clusteringof Subdistricts in Merangin Regency Based on Plantation Crop Production,"Perkebunan adalah sektor terpenting bagi perkembangan perekonomian negara Indonesia serta berperan dalam penyerapan tenaga kerja. Kabupaten Merangin merupakan salah satu kabupaten yang ada di Provinsi Jambi yang memiliki kekayaan sumber daya alam berupa tanah yang subur dan sangat tergantung pada sektor perkebunan. Hal ini terlihat dari struktur PDRB dari tahun ke tahun hampir 60% disumbangkan oleh sektor perkebunan. Setiap kecamatan di Kabupaten Merangin berpotensi untuk memproduksi tanaman perkebunan, namun tidak semua kecamatan dapat memproduksi semua jenis komoditas tanaman perkebunan. Penelitian ini dilakukan untuk mengoptimalkan jumlah produksi tanaman perkebunan yang bertujuan untuk mengelompokkan 24 kecamatan di Kabupaten Merangin menggunakan analisis Agglomerative Hierarchical Clustering dengan metode terbaik yaitu metode average linkage berdasarkan produksi tanaman perkebunan tahun 2021. Berdasarkan hasil clustering dan profilisasi produksi tanaman perkebunan karet, kelapa, kelapa sawit, kopi dan kakao diperoleh cluster 1 terdapat 17 kecamatan dengan karakteristik tinggi, cluster 2 terdapat 2 kecamatan dengan karakteristik sangat tinggi, cluster 3 terdapat 2 kecamatan dengan karakteristik rendah, dan cluster 4 terdapat 3 kecamatan dengan karakteristik sangat rendah","Plantation is the most important sector for the development of the Indonesian economy and plays a role in the absorption of labor. Merangin regency is one of the regencies in Jambi Province which has a wealth of natural resourcesin the form of fertile land and highly dependent on the plantation sector. This can be seen from the PDRB structure from year to year, almost 60% is contributed by the plantation sector. Each sub-district in Merangin district has the potential to produce plantation crops, but not all sub-districts can produce all types of plantation crop commodities. This research was conducted to optimize the amount of plantation crop production which aims to group 24 sub-districts in Merangin Regency using Agglomerative Hierarchical Clustering with the best method, namely the average linkage based on plantation crop production in 2021.Based on the results of clustering and profiling of rubber, coconut, palm oil, coffee and cocoa obtained in cluster 1 there are 17 districts with high characteristics, cluster 2 there are 2 districts with very high characteristics, cluster 3 there are 2 districts with low characteristics, and cluster 4 there are 3 districts with very low characteristics.",https://journal.uii.ac.id/esds/article/view/26982/14727
Peramalan Jumlah Peserta Kb Aktif Pengguna Alat Kontrasepsi Pil di Daerah Istimewa Yogyakarta Menggunakan Metode ARIMA,Forecasting the Number of Active KB Participants Using Birth Control Pills in the Special Region of Yogyakarta Using the ARIMA Method,"Peserta KB aktif adalah peserta baru dan pesertalama yang masih aktif menggunakan alat kontasepsi. Dalam sumber lain, menurut Dinas Kesehatan Jawa Tengah peserta KB aktif diartikan juga sebagai Pasangan Usia Subur (PUS) yang saat ini menggunakan salah satu alat kontasepsi tanpa diselingi dengan kehamilan.Dilansir dari situs Ims.bkkbn.go.id melalui siaran pers di youtube BNPB (9/10/2020) Kepala Badan Kependudukan dan Keluarga berencana Nasional (BKKBN) dr Hasto Wardoyo menyebutkan bahwa tingkat pemakaian alat kontrasepsi menurun selama pandemi COVID-19 yang mengakibatkan angka kehamilan ikut naik. Tujuan dari penelitian ini adalah untuk melihat jumlah peserta KB aktif yang menggunakan alat kontrasepsi di perode kedepan guna mengantisipasi adanya lonjakan peserta. Dalam penelitian ini peneliti akan melakukan penelitian mengenai Jumlah Peserta KB aktif yang menggunakan metode alat kontrasepsi pil diwilayah provinsi Daerah Istimewa Yogyakarta menggunakan metode ARIMA (Autoregresiive integrated Moving Average). Dari hasil analisis, didapati model terbaik yang digunakan adalah model ARIMA (1,0,0) dimana hasil peramalan untuk jumlah peserta KB aktif yang menggunakan alat kontrasepsi pil mengalami kenaikan setiap bulannya. Hasil peramalan yang didapati untuk 7 periode ke depan berjumlah sama dengan nilai MAPE sebesar 1,666%","Active family planning participants are new participants and old participants who are still actively using contraceptives. In another source, according to the Central Java Health Office, active family planning participants are defined as couples of childbearing age (PUS) who are currently using one of the contraceptives without interspersed with pregnancy. Reporting from the Ims.bkkbn.go.idthrough a press release on BNPB YouTube (9/10/2020) Head of the National Population and Family Planning Agency (BKKBN) Dr Hasto Wardoyo said that the rate of use of contraceptives decreased during the COVID-19 pandemic which resulted in pregnancy rate goes up. The purpose of this study was to see the number of active family planning participants who use contraception in the future in order to anticipate a surge in participants. In this study, researchers will conduct research on the number of active family planning participants who use the pill contraceptive method in the province of the Special Region of Yogyakarta using the ARIMA (Autoregressive Integrated Moving Average) method.From the results of the analysis, it was found that the best model used was the ARIMA (1,3,1) model where the forecasting results for the number of active family planning participants who used the contraceptive pill increased every month. The forecasting results for the next 7 periods are the same as the MAPE value of 1.482%",https://journal.uii.ac.id/esds/article/view/26983/15085
Analisis Double Exponential Smoothing pada Indeks Pembangunan Manusia di Kabupaten Banyumas,Double Exponential Smoothing Analysis of the Human Development Index in Banyumas Regency,"Indeks Pembangunan Manusia (IPM) adalah tolak ukur keberhasilan pembangunan manusia (penduduk) di suatu wilayah. Semakin tinggi nilai IPM pada suatu wilayah menunjukkan wilayah tersebut tingkat pencapaian pembangunan manusia semakin baik. Peramalan (forecasting)adalah suatu cara,untuk memperkirakan kondisi di masa depan. Tujuan penelitian ini, untuk mengetahui prediksi IPM Kabupaten Banyumas untuk 5 periode (tahun) kedepan dari tahun 2022 hingga tahun 2026 serta tingkat kesalahan peramalannya dengan menggunakan MAPE. Berdasarkan pola data IPM Kabupaten Banyumas yang mengalami peningkatan setiap periode atau tahunnya maka disimpulkan data memiliki kecenderungan trend naik, maka dilakukan penelitian peramalan IPM Kabupaten Banyumas menggunakan metode Double Exponential Smoothing (DES) dua parameter Holt. Didapatkan hasil peramalan pada indeks pembangunan manusia menggunakan metode ini mengalami peningkatan secara signifikan setiap tahunnya. Didapatkan juga nilai parameter pemulusan level α sebesar 0.9619782 dan parameter pemulusan trend β sebesar 0 yang optimum serta didapatkan nilai ukuran kesalahan dengan Mean Square Error(MSE) sebesar.08349977 dan dengan Mean Absolute Percentage Error(MAPE) sebesar 0.2875306% artinya hasil peramalan dengan 0 metode DES yang telah dilakukan ini sangat baik menurut kriteria MAPE","The Human Development Index (HDI) is a benchmark for the success of human development (population) in an region. The higher the HDI value in an area indicates the better the level of achievement of human development. Forecasting is a way to forecast futureconditions. The purpose of this study is to determine the prediction of the HDI of Banyumas Regency for the next 5 periods (years) from 2022 to 2026 and the error rate of forecasting using MAPE. Based on the pattern of HDI data of Banyumas Regency which has increased every period or year, it is concluded that the data has an upward trend trend, so a study was conducted on forecasting the HDI of Banyumas Regency using the Double Exponential Smoothing (DES) method of two Holt parameters. Based on the pattern of HDI data of Banyumas Regency which has increased every period or year, it is concluded that the data has an upward trend trend, so a study was conducted on forecasting the HDI of Banyumas Regency using the Double Exponential Smoothing (DES) method of two Holt parameters.using the Double Exponential Smoothing (DES) method of two Holt parameters.",https://journal.uii.ac.id/esds/article/view/26989/14714
"Pengaruh Tingkat Inflasi, Upah Minimum, Dan Pertumbuhan Ekonomi Terhadap Tingkat Pengangguran Terbuka Di Provinsi Bali","The Effect of Inflation Rate, Minimum Wage, and Economic Growth on the Open Unemployment Rate in Bali Province","Pengangguran disebabkan oleh tidak sebandingnya jumlah angkatan kerja dengan jumlah tersedianya lapangan kerja. Isu pengangguran menjadi suatu bahasan yang sangat kompleks untuk dibahas karena berkaitan dengan indikator ekonomi yang memengaruhinya. Metrik ekonomi berikut yang memengaruhi pengangguran adalah inflasi, upah minimum, dan pertumbuhan ekonomi. Adapun tujuan dari penelitian untuk mengetahui adanya dampak tingkat inflasi, upah minimum, dan pertumbuhan ekonomi pada tingkatpengangguran terbuka di Provinsi Bali. Data yang didapatkan melalui BPS Provinsi Bali digunakan sebagai data sekunder untuk penelitian. Metode penelitian yang digunakan bersifat deskriptif dan asosiatif. Metode statistik yang sesuai dengan tujuan penelitian adalah regresi linear berganda dengan pengujian stastistik yaitu uji asumsi klasik. Hasil analisis menunjukkan variabel inflasi, upah minimum, dan pertumbuhan ekonomi berpengaruh signifikan secara simultan terhadap tingkat pengangguran terbuka di Provinsi Bali berdasarkan tujuan penelitian dan temuan analisis data yang telah diberikan. Tingkat pengangguran terbuka di Provinsi Bali secara signifikan dan positif dipengaruhi oleh upah minimum. Sementara itu, tingkat pengangguran terbuka di Provinsi Bali dipengaruhi secara negatif oleh inflasi dan pertumbuhan ekonomi.","The disproportionate number of the labor force with the number of available jobs causes unemployment. Unemployment issue becomes a very complex topic to discuss because it is related to the economic indicators that influence it. The following economic metrics that affect unemployment are inflation, minimum wages and economic growth. This research purpose is to determine the impact of inflation rate, minimum wages, and economic growth on Bali Province’s open unemployment rate. The data obtained form BPS BaliProvince is used as secondary data for this research. The research method used is associative and descriptive. The statistical method in accordance with the research objective is multiple linear regression with statistical testing, namely the classical assumption test. The results of the analysis show that the variables of inflation, minimum wages, and economic growth have a significant simultaneous effect on Bali Provinve’s open unemployment rate based on the research objectives and the findings of the data analysis that has been given. The open unemployment rate in Bali Province is significantly and positively influenced by the minimum wage. Meanwhile, Bali Province’s open unemployment rate is negatively affected by inflation and economic growth.",https://journal.uii.ac.id/esds/article/view/26991/14723
Peramalan Jumlah Pengguna Baru yang Terdaftar di Aplikasi iPusnas Menggunakan Metode Extreme Learning Machine: Peramalan Jumlah Pengguna Baru yang Terdaftar di Aplikasi iPusnas,Forecasting the Number of New Users Registered on the iPusnas Application Using the Extreme Learning Machine Method: Forecasting the Number of New Users Registered on the iPusnas Application,"Perpustakaan merupakan salah satu komponen yang berperan penting dalam penyediaan buku-buku sebagai sumber acuan pembelajaran. Kecenderungan membaca teks elektronik terus meningkat dari hari ke hari. Seiring dengan perkembangan zaman yang semakin pesat membuat terciptanya layanan perpustakaan onlineuntuk memudahkan pembaca menikmati layanan buku gratis dimanapun berada. Untuk itu iPusnas merupakan salah satu layanan perpustakaan online yang harus dikembangkan dengan sebaik mungkin. Berdasarkan perkembanganzaman yang semakin pesat mengenai perpustakaan digital, pemerintahan perlu mengetahui landasan untuk melakukan pengembangan pada aplikasi layanan perpustakaan online menjadi lebih baik. Dengan menggunakan metode prediksi Extreme Learning Machine (ELM) untuk melakukan analisis data historis mampu menentukan perkembangan data di masa yang akan datang. Penelitian ini bertujuan untuk mengetahui nilai dari hasil analisis menggunakan metode Extreme Learning Machine untuk mendapatkan prediksi pengguna baru di aplikasi perpustakaan digital yaitu iPusnas pada bulan April hingga bulan Desember 2021. Studi kasus yang digunakan dalam penelitian ini adalah data pengguna baru iPusnas pada bulan Januari 2017 hingga bulan Desember 2021. Kemudian hasil yang diperoleh dari penelitian ini yaitu nilai Mean Absolute Percentage Error (MAPE) sebesar 22.69949%","The library is one component that plays an important role in providing books as a source of reference for learning. The tendency to read electronic texts continues to increase day by day. Along with the rapid development of the times, online library services have been created to make it easier for readers to enjoy free book services wherever they are. For this reason, iPusnas is an online library service that must be developed as well as possible. Based on the increasingly rapid developments regarding digital libraries, the government needs to know the basis for developing online library service applications to be better. Using the Extreme Learning Machine (ELM) prediction method to perform historical data analysis can determine future data developments. This study aims to determine the value of the results of the analysis using the Extreme Learning Machine method to obtain new user predictions in the digital library application, namely iPusnas from April to December 2021. The case study used in this research is data on new iPusnas users from January 2017 to December 2021. Then the results obtained from this study are the Mean Absolute Percentage Error (MAPE) value of 22.69949%",https://journal.uii.ac.id/esds/article/view/26992/15167
Analisis Clustering K-Modes Terhadap Kepuasan Sistem Rekrutmen Online Mitra Kerja BPS Kabupaten Bima Tahun 2022,K-Mode Clustering Analysis of Satisfaction with the Online Recruitment System of BPS Bima Regency Partners in 2022,"Sejak kasus pertama Covid-19di Indonesia pada tanggal 2 maret 2020, banyak kegiatan yang diadakan secara Offlinekini dialihkan menjadi Onlineatau lebih dikenal dengan sebutan Pemberlakuan Pembatasan Kegiatan Masyarakat. Ditengah pemberlakuan Pembatasan Kegiatan Masyarakat Badan Pusat Statistik Kabupaten Bima melakukan perekrutan mitra kerja untuk persiapan sensus pertanian tahun 2023. Kegiatan ini merupakan kegiatan pertama bagi Badan Pusat Statistik Kabupaten Bima dalam melakukan rekrutmen mitra kerja secara Online. Sehingga, untuk melakukan evaluasi Badan Pusat Statistik Kabupaten Bima mengadakan survei kepuasan terhadap sistem rekrutmen yang dijalankan. Tujuan dari penelitian ini adalah untuk mengetahui gambaran umum, serta karakteristik dari Clusteryang terbentuk dengan menggunakan metode Clustering K-Modes. Didapatkan bahwa rata-rata kepuasan untuk setiap variabel survei lebih dari 8 yang artinya hampir seluruh sistem berjalan dengan baik, tetapi terjadi beberapa kendala. Untuk analisis Cluster, Terdapat 3 kategori cluster yang terbentuk. Dimana cluster 1 (puas) memiliki karakteristik responden yang masih merasa kurang pada 2 atau 3 sistem yang dijalankan terdapat 69 anggota, cluster2 (cukup puas) yang memiliki karakteristik dimana responden masih terdapat 3 atau 4 sistem yang kurang optimal dengan jumlah anggota sebanyak 38, dan cluster 3 (sangat puas) dimana karakteristik dari clusterini yaitu responden sudah merasa sangat puas tetetapi terdapat 1 sampai 2 sistem yang masih harus dioptimalkan lagi dengan 104 anggota","Since the first caseCovid-19 in Indonesia on March 2, 2020, many activities were held Offline now moved to be online or better known as the Implementation of Restrictions on Community Activities. During the implementation of Community Activity Restrictions, the Central Bureau of Statistics for Bima Regency is recruiting partners for the preparation of the 2023 agricultural census. Online. Thus, to evaluate the Central Bureau of Statistics for Bima Regency, a satisfaction survey was conducted on the recruitment system being implemented. The purpose of this study is to find out the general description and characteristics of clusters formed using the method of clustering K-Modes. It was found that the average satisfaction for each survey variable was more than 8, which means that almost the entire system was running well, but there were some problems. for analysis cluster, there are 3 categories of clusters formed. Where cluster 1 (satisfied) has the characteristics of respondents who still feel lacking in the 2or 3 systems that are run there are 69 members, cluster 2 (quite satisfied) which has characteristics where respondents still have 3 or 4 systems that are less than optimal with a total of 38 members, and cluster 3 (very satisfied) where the characteristics of cluster this is that the respondents are already very satisfied but there are 1 to 2 systems that still need to be optimized again with 104 members.",https://journal.uii.ac.id/esds/article/view/26994/14720
Perbandingan Metode Double Exponential Smoothing dan Metode Triple Exponential Smoothing untuk Harga Telur pada Produsen di Kabupaten Sukabumi,Comparison of Double Exponential Smoothing and Triple Exponential Smoothing Methods for Egg Prices at Producers in Sukabumi Regency,"Peternakan merupakan aktivitas dalam mengembangbiakan hewan ternak untuk memperoleh manfaat serta yang akan terjadi dari aktivitas tersebut. Telur merupakan bahan pahan hasil ternak unggas yang mengandung gizi cukup dan kerap disantap oleh masyarakat. Telur memiliki kandungan zat yang mencangkup 13 % protein, 12 % lemak, juga vitamin dan mineral. Dari hasil peramalan tersebut dapat menjadi patokan dan bahan pertimbangan dalam pengambilan keputusan atau kebijakan dalam menentukan harga telur di Kabupaten Sukabumi. Peramalan bertujuan untuk menaksir nilai dimasa depan dengan menggunakan data masa lalu. Penelitian ini bertujuan untuk mengetahui peramalan terhadap harga produsen pada masa yang akan datang yaitu periode 1 tahun kedepan pada tahun 2022. Penelitian ini menggunakan metode Double Exponential Smoothing dan metode Triple Exponential Smoothing. Adapun data yang digunakan yaitu data time series harga telur ayam ras pada produsen dimulai dari bulan Januari 2020 sampai dengan bulan Desember 2021. Berdasarkan hasil yang diperoleh, Mean Square Error dan Mean Absolute Percentage Errordigunakan untuk mengukur kesalahan prediksi, kemudian dibandingkan kedua metode tersebut dan didapatkan metode terbaik yaitu metode Triple Exponential Smoothing dengan nilai Mean Square Errorsebesar 629368.5 dan nilai Mean Absolute Percentage Error sebesar 3.584268%, nilai Mean Absolute Percentage Error yang di dapat <10% artinya metode Triple Exponential Smoothing dapat dikatakan sangat baik untuk digunakan dalam prediksi Harga Telur ini.","It is an activity in raising livestock for the benefit of this and what will happen from it. The egg isa cultivated product of well-nourished poultry that is often consumed by communities. Eggs have a capacity of 13 % protein, 12 % fat, as well as vitaminsand minerals. The result of the analysis can be both a guide and a consideration for decision-making or policy in determining the price of eggs in Sukabumi district. Forecasting aims to assess future values using data from the past. This research is aimedatan increase in the future price of the producers as the next one year period of 2022. The study USES the double exponential smoothing and the triple exponential smoothing. As for the data used, the time series data price of chicken eggs race in the producers starts from January 2020 to December 2021. Based on results, mean square error and mean absolute error are used to measure predictions error, then compared to both of these methods and one of the best is the triple slay smoothing with a mean square error of 6293668.5 and the mean absolute error by 3.584268%, The mean absolute error score which at <10% means the triple slay smoothing method can be said to be excellent to use in predictive prices of this egg.",https://journal.uii.ac.id/esds/article/view/26997/15108
